sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
116,1.005311,8.335,4.645,1.828,1.656,0.206
117,1.01563,7.774,4.565,1.585,1.246,0.378
118,1.025752,7.728,4.612,1.602,1.22,0.294
119,1.034351,7.891,4.606,2.068,0.974,0.243
120,1.042661,7.888,4.53,2.103,1.014,0.241
121,1.050709,8.155,4.548,2.02,1.398,0.189
122,1.059186,8.041,4.522,1.915,1.381,0.223
123,1.067422,8.116,4.556,1.878,1.482,0.2
124,1.075776,8.095,4.489,1.942,1.47,0.194
125,1.084462,7.841,4.531,1.989,1.032,0.289
126,1.092495,8.071,4.515,1.532,1.796,0.228
127,1.101006,7.926,4.536,1.305,1.855,0.23
128,1.109346,7.976,4.54,1.692,1.436,0.308
129,1.117735,7.942,4.538,2.111,0.964,0.329
130,1.126058,7.898,4.554,1.944,1.137,0.263
131,1.136197,7.835,4.63,2.009,0.95,0.246
132,1.144703,7.738,4.511,1.967,1.016,0.244
133,1.153183,7.718,4.532,2.038,0.915,0.233
134,1.161286,7.984,4.55,1.526,1.637,0.271
135,1.170244,7.657,4.506,1.942,0.928,0.281
136,1.17786,8.373,4.568,2.124,1.426,0.255
137,1.186369,8.152,4.572,1.747,1.633,0.2
138,1.19505,7.831,4.529,1.749,1.339,0.214
139,1.204845,7.995,4.647,1.748,1.382,0.218
140,1.21349,7.966,4.602,2.104,1.029,0.231
141,1.222395,7.739,4.603,1.589,1.313,0.234
142,1.230416,8.372,4.616,1.432,1.78,0.544
143,1.238912,8.181,4.592,1.418,1.667,0.504
144,1.247278,8.106,4.57,1.437,1.639,0.46
145,1.255463,8.282,4.563,1.29,1.946,0.483
146,1.265531,7.178,4.604,1.161,1.102,0.311
147,1.275992,7.417,4.608,1.21,1.329,0.27
148,1.284758,7.388,4.562,1.165,1.143,0.518
149,1.292813,7.662,4.627,1.191,1.323,0.521
150,1.300967,7.785,4.591,1.294,1.44,0.46
151,1.309446,7.654,4.609,1.149,1.427,0.469
152,1.317595,7.758,4.56,1.194,1.609,0.395
153,1.32642,7.724,4.689,1.278,1.299,0.458
154,1.33469,8.183,4.604,1.743,1.347,0.489
155,1.343051,8.122,4.548,1.887,1.231,0.456
156,1.351111,8.368,4.503,1.74,1.694,0.431
157,1.359873,8.181,4.518,1.228,1.761,0.674
158,1.368168,7.977,4.494,1.737,1.318,0.428
159,1.376574,8.372,4.521,1.689,1.27,0.892
160,1.38506,8.159,4.511,1.22,1.595,0.833
161,1.395413,7.908,4.583,1.632,1.13,0.563
162,1.403485,8.248,4.527,1.673,1.408,0.64
163,1.412004,8.167,4.552,1.827,1.126,0.662
164,1.419937,8.456,4.566,1.822,1.502,0.566
165,1.428332,8.203,4.497,1.749,1.578,0.379
166,1.437149,8.273,4.496,1.8,1.066,0.911
167,1.445431,8.13,4.507,1.695,1.211,0.717
168,1.455907,8.265,4.636,1.83,1.012,0.787
169,1.463856,8.328,4.551,1.806,1.507,0.464
170,1.472124,8.524,4.502,1.773,1.648,0.601
171,1.480563,8.461,4.519,1.686,1.613,0.643
172,1.489236,8.156,4.49,1.672,1.325,0.669
173,1.497164,8.503,4.577,1.666,1.648,0.612
174,1.505764,8.249,4.613,1.085,1.925,0.626
175,1.515607,7.982,4.62,1.648,1.181,0.533
176,1.526078,8.132,4.58,1.673,1.251,0.628
177,1.534664,8.071,4.603,1.666,1.056,0.746
178,1.542676,8.08,4.591,1.64,1.411,0.438
179,1.550995,8.01,4.617,1.712,1.327,0.354
180,1.559566,8.103,4.63,1.732,1.128,0.613
181,1.567583,8.215,4.589,1.64,1.574,0.412
182,1.576636,8.223,4.588,1.657,1.294,0.684
183,1.584386,8.47,4.629,1.654,1.829,0.358
184,1.592865,8.631,4.602,1.735,1.642,0.652
185,1.601234,8.338,4.579,1.675,1.686,0.398
186,1.609467,8.621,4.615,1.642,1.786,0.578
187,1.61801,8.39,4.593,1.655,1.587,0.555
188,1.626605,8.21,4.626,1.652,1.287,0.645
189,1.636353,7.865,4.61,1.676,1.203,0.376
190,1.645159,8.12,4.461,1.764,1.197,0.698
191,1.653971,7.845,4.557,1.574,0.842,0.872
192,1.661536,8.102,4.525,1.669,1.557,0.351
193,1.670456,8.007,4.517,1.245,1.405,0.84
194,1.678281,8.11,4.488,1.685,1.498,0.439
195,1.686859,8.177,4.562,1.789,1.078,0.748
196,1.697337,7.847,4.632,1.754,0.919,0.542
197,1.705826,7.997,4.525,1.766,1.034,0.672
198,1.713735,8.114,4.546,1.715,1.479,0.374
199,1.721804,8.374,4.55,1.72,1.736,0.368
200,1.730639,8.124,4.543,1.665,1.286,0.63
201,1.739141,7.956,4.514,1.811,1.012,0.619
202,1.747235,8.244,4.495,1.778,1.292,0.679
203,1.75777,8.179,4.631,1.805,0.948,0.795
204,1.767719,7.91,4.616,1.728,1.106,0.46
205,1.776019,7.956,4.55,1.73,1.203,0.473
206,1.784288,7.973,4.502,1.701,1.338,0.432
207,1.792979,8.361,4.538,1.777,1.297,0.749
208,1.801301,8.356,4.663,1.732,1.216,0.745
209,1.809192,8.389,4.531,1.088,2.44,0.33
210,1.817583,8.34,4.644,1.734,1.621,0.341
211,1.825857,8.403,4.631,1.701,1.735,0.336
212,1.834714,8.36,4.645,1.726,1.322,0.667
213,1.843323,8.386,4.593,1.659,1.356,0.778
214,1.851346,8.502,4.623,1.672,1.609,0.598
215,1.859773,8.278,4.616,1.729,1.471,0.462
216,1.868035,8.591,4.594,1.762,1.536,0.699
217,1.876553,8.26,4.62,1.644,1.433,0.563
218,1.884973,8.1,4.6,1.742,1.28,0.478
219,1.895759,8.239,4.599,1.616,1.189,0.835
220,1.903281,8.51,4.595,1.745,1.871,0.299
221,1.911562,8.873,4.619,1.842,1.807,0.605
222,1.919889,8.645,4.626,1.8,1.852,0.367
223,1.928829,8.279,4.637,1.767,1.267,0.608
