sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
116,1.002951,5.736,4.568,0.071,0.848,0.249
117,1.01175,5.595,4.596,0.06,0.656,0.283
118,1.019898,5.733,4.616,0.077,0.825,0.215
119,1.028297,5.713,4.629,0.065,0.8,0.219
120,1.036812,5.743,4.622,0.066,0.838,0.217
121,1.044893,5.999,4.607,0.111,1.087,0.194
122,1.053437,5.773,4.579,0.062,0.926,0.206
123,1.061598,5.975,4.571,0.063,1.106,0.235
124,1.07003,5.863,4.613,0.072,0.97,0.208
125,1.080179,5.768,4.615,0.066,0.853,0.234
126,1.09058,5.965,4.579,0.102,1.036,0.248
127,1.099463,5.926,4.549,0.084,0.915,0.378
128,1.107428,6.225,4.575,0.064,1.309,0.277
129,1.115664,6.28,4.588,0.071,1.397,0.224
130,1.124127,6.281,4.604,0.078,1.246,0.353
131,1.132263,6.345,4.595,0.064,1.454,0.232
132,1.140851,6.083,4.59,0.088,1.185,0.22
133,1.149172,6.097,4.592,0.101,1.167,0.237
134,1.157617,6.116,4.532,0.062,1.139,0.383
135,1.165705,6.299,4.601,0.055,1.345,0.298
136,1.174132,6.157,4.6,0.064,1.249,0.244
137,1.182223,6.382,4.61,0.066,1.477,0.229
138,1.193171,5.751,4.595,0.077,0.859,0.22
139,1.201316,5.925,4.553,0.087,1.035,0.25
140,1.209253,6.333,4.612,0.072,1.402,0.247
141,1.217694,6.217,4.564,0.094,1.354,0.205
142,1.22635,5.896,4.624,0.066,0.994,0.212
143,1.234752,5.871,4.608,0.102,0.966,0.195
144,1.243047,6.097,4.617,0.086,1.03,0.364
145,1.251512,5.872,4.449,0.091,1.043,0.289
146,1.261616,5.603,4.571,0.083,0.708,0.241
147,1.270299,5.512,4.518,0.074,0.706,0.214
148,1.278057,6.102,4.507,0.069,1.316,0.21
149,1.286906,5.562,4.513,0.086,0.766,0.197
150,1.294977,5.814,4.554,0.08,1.013,0.167
151,1.303378,5.838,4.482,0.077,0.995,0.284
152,1.31185,5.657,4.488,0.066,0.861,0.242
153,1.321857,5.723,4.587,0.095,0.76,0.281
154,1.330215,5.647,4.477,0.067,0.862,0.241
155,1.338533,5.696,4.467,0.082,0.888,0.259
156,1.346837,5.685,4.504,0.074,0.885,0.222
157,1.355625,5.452,4.453,0.074,0.686,0.239
158,1.363654,5.749,4.488,0.07,0.972,0.219
159,1.372217,5.522,4.489,0.061,0.716,0.256
160,1.382651,5.562,4.536,0.087,0.725,0.214
161,1.39089,5.719,4.458,0.071,0.904,0.286
162,1.399308,5.806,4.617,0.069,0.908,0.212
163,1.407198,6.281,4.644,0.08,1.323,0.234
164,1.415945,5.856,4.633,0.089,0.942,0.192
165,1.423866,6.255,4.58,0.07,1.375,0.23
166,1.432243,6.205,4.587,0.175,1.219,0.224
167,1.4408,5.957,4.64,0.13,0.998,0.189
168,1.451291,5.848,4.619,0.082,0.839,0.308
169,1.45944,5.981,4.587,0.072,1.061,0.261
170,1.467722,6.001,4.581,0.075,1.119,0.226
171,1.476444,5.824,4.589,0.074,0.897,0.264
172,1.484482,6.083,4.548,0.072,1.232,0.231
173,1.492884,6.008,4.613,0.066,1.091,0.238
174,1.503426,5.708,4.588,0.072,0.838,0.21
175,1.513461,5.742,4.609,0.066,0.836,0.231
176,1.521868,5.881,4.618,0.081,0.914,0.268
177,1.530274,5.755,4.605,0.07,0.856,0.224
178,1.538533,5.815,4.588,0.141,0.896,0.19
179,1.54667,6.017,4.453,0.117,1.224,0.223
180,1.555269,5.766,4.501,0.069,0.961,0.235
181,1.563359,5.995,4.534,0.082,1.17,0.209
182,1.572183,5.689,4.506,0.106,0.73,0.347
183,1.580654,5.734,4.454,0.167,0.852,0.261
184,1.588557,6.099,4.468,0.137,1.313,0.181
185,1.597513,5.49,4.479,0.072,0.727,0.212
186,1.605161,6.173,4.489,0.065,1.401,0.218
187,1.613735,5.982,4.492,0.065,1.162,0.263
188,1.622261,5.776,4.513,0.091,0.947,0.225
189,1.632413,5.731,4.543,0.07,0.839,0.279
190,1.640808,5.653,4.477,0.069,0.844,0.263
191,1.648867,5.928,4.468,0.067,1.026,0.367
192,1.657251,5.866,4.496,0.061,1.008,0.301
193,1.665668,6.076,4.472,0.066,0.984,0.554
194,1.674243,5.55,4.523,0.064,0.694,0.269
195,1.682537,5.558,4.473,0.083,0.785,0.217
196,1.692618,5.541,4.593,0.076,0.642,0.23
197,1.702082,6.763,4.614,0.174,0.944,1.031
198,1.709746,6.758,4.612,0.081,1.689,0.376
199,1.717738,6.981,4.592,0.09,2.026,0.273
200,1.72623,6.786,4.614,0.07,1.874,0.228
201,1.734597,6.734,4.573,0.074,1.887,0.2
202,1.742843,6.822,4.633,0.088,1.914,0.187
203,1.753631,5.724,4.588,0.069,0.831,0.236
204,1.76355,5.688,4.553,0.072,0.829,0.234
205,1.771899,5.743,4.61,0.091,0.795,0.247
206,1.780267,5.808,4.615,0.078,0.885,0.23
207,1.788434,5.961,4.579,0.072,1.11,0.2
208,1.796751,5.996,4.582,0.145,1.034,0.235
209,1.805213,5.907,4.568,0.126,0.886,0.327
210,1.81353,5.909,4.527,0.077,1.026,0.279
211,1.821763,5.99,4.643,0.097,1.042,0.208
212,1.830575,5.795,4.571,0.091,0.912,0.221
