sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
0,0.007005,6.055,4.643,0.077,1.138,0.197
1,0.015684,5.702,4.597,0.063,0.838,0.204
2,0.023835,5.885,4.608,0.088,1.009,0.18
3,0.03427,5.493,4.596,0.092,0.615,0.19
4,0.04283,5.577,4.677,0.08,0.619,0.201
5,0.05078,5.962,4.633,0.076,1.051,0.202
6,0.059429,5.635,4.642,0.068,0.727,0.198
7,0.067287,6.111,4.649,0.096,1.189,0.177
8,0.075934,5.811,4.614,0.086,0.915,0.196
9,0.084183,5.843,4.66,0.086,0.953,0.144
10,0.092851,5.658,4.609,0.083,0.766,0.2
11,0.103002,5.656,4.622,0.072,0.759,0.203
12,0.111606,5.471,4.584,0.069,0.6,0.218
13,0.121689,5.506,4.604,0.068,0.63,0.204
14,0.130016,5.549,4.636,0.091,0.633,0.189
15,0.138567,5.523,4.64,0.085,0.617,0.181
16,0.146646,5.784,4.588,0.065,0.923,0.208
17,0.155078,5.712,4.595,0.077,0.82,0.22
18,0.16321,5.882,4.625,0.079,0.99,0.188
19,0.171824,5.612,4.65,0.103,0.678,0.181
20,0.179999,5.79,4.648,0.077,0.852,0.213
21,0.18841,5.791,4.653,0.074,0.877,0.187
22,0.197108,5.541,4.645,0.083,0.611,0.202
23,0.20497,6.007,4.707,0.078,1.024,0.198
24,0.213895,5.606,4.627,0.08,0.714,0.185
25,0.222014,5.825,4.625,0.108,0.904,0.188
26,0.232021,5.48,4.6,0.083,0.633,0.164
27,0.240527,5.497,4.597,0.08,0.63,0.19
28,0.249114,5.587,4.686,0.077,0.623,0.201
29,0.256988,6.029,4.641,0.077,1.126,0.185
30,0.265673,5.688,4.598,0.062,0.817,0.211
31,0.278178,5.778,4.655,0.083,0.822,0.218
32,0.288076,5.543,4.654,0.088,0.611,0.19
33,0.296435,5.5,4.642,0.07,0.599,0.189
34,0.304833,5.54,4.628,0.102,0.634,0.176
35,0.313232,5.697,4.641,0.085,0.808,0.163
36,0.321742,5.531,4.592,0.082,0.678,0.179
37,0.329813,5.81,4.612,0.078,0.923,0.197
38,0.338246,5.703,4.589,0.083,0.846,0.185
39,0.346619,5.765,4.693,0.117,0.747,0.208
40,0.354826,5.861,4.579,0.08,1.038,0.164
41,0.363535,5.531,4.61,0.062,0.645,0.214
42,0.371698,5.703,4.6,0.076,0.828,0.199
43,0.379822,5.88,4.622,0.076,1.018,0.164
44,0.388524,5.64,4.598,0.066,0.769,0.207
45,0.396625,5.87,4.617,0.067,0.982,0.204
46,0.405147,5.743,4.633,0.08,0.823,0.207
47,0.413218,5.974,4.602,0.081,1.119,0.172
48,0.422052,5.557,4.594,0.076,0.69,0.197
49,0.430023,5.927,4.635,0.078,1.011,0.203
50,0.438593,5.679,4.599,0.062,0.807,0.211
51,0.447269,5.558,4.621,0.088,0.684,0.165
52,0.455063,6.133,4.606,0.077,1.239,0.211
53,0.464083,5.523,4.633,0.079,0.611,0.2
54,0.474095,5.657,4.652,0.086,0.731,0.188
55,0.482135,5.962,4.592,0.078,1.084,0.208
56,0.490692,5.751,4.611,0.081,0.843,0.216
57,0.498758,5.979,4.596,0.087,1.122,0.174
58,0.507076,6.018,4.6,0.08,1.137,0.201
59,0.515817,5.595,4.625,0.082,0.699,0.189
60,0.526177,5.605,4.583,0.086,0.778,0.158
61,0.534302,5.853,4.64,0.104,0.923,0.186
62,0.542805,5.681,4.63,0.087,0.781,0.183
63,0.550868,5.961,4.626,0.083,1.055,0.197
64,0.55914,6.049,4.584,0.094,1.157,0.214
65,0.567689,5.81,4.58,0.062,0.946,0.222
66,0.576011,5.827,4.623,0.103,0.902,0.199
67,0.584393,5.76,4.652,0.068,0.836,0.204
68,0.5947,5.681,4.597,0.085,0.794,0.205
69,0.605091,5.519,4.58,0.093,0.638,0.208
70,0.613272,5.658,4.63,0.09,0.742,0.196
71,0.621645,5.6,4.583,0.062,0.75,0.205
72,0.630169,5.797,4.654,0.081,0.854,0.208
73,0.638431,5.845,4.635,0.064,0.946,0.2
74,0.646636,5.992,4.598,0.067,1.11,0.217
75,0.654946,6.002,4.634,0.088,1.099,0.181
76,0.6634,5.878,4.645,0.109,0.948,0.176
77,0.672,5.766,4.642,0.069,0.847,0.208
78,0.679995,6.106,4.653,0.079,1.174,0.2
79,0.688568,5.86,4.607,0.061,0.984,0.208
80,0.696681,6.088,4.636,0.094,1.169,0.189
81,0.705121,5.985,4.627,0.088,1.075,0.195
82,0.714049,5.704,4.648,0.101,0.757,0.198
83,0.724203,5.574,4.6,0.083,0.671,0.22
84,0.732179,5.945,4.64,0.1,0.982,0.223
85,0.740677,5.795,4.635,0.083,0.863,0.214
86,0.748778,6.015,4.639,0.088,1.093,0.195
87,0.757126,6.008,4.635,0.083,1.084,0.206
88,0.765737,5.712,4.612,0.083,0.828,0.189
89,0.77376,6.021,4.639,0.087,1.111,0.184
90,0.782392,5.754,4.655,0.063,0.826,0.21
91,0.792426,5.475,4.631,0.065,0.581,0.198
92,0.800904,5.512,4.649,0.077,0.6,0.186
93,0.809561,5.612,4.599,0.061,0.725,0.227
94,0.817505,6.0,4.627,0.065,1.087,0.221
95,0.825983,5.86,4.657,0.092,0.908,0.203
96,0.834089,6.087,4.635,0.076,1.161,0.215
97,0.842845,5.689,4.613,0.075,0.797,0.204
98,0.853762,5.812,4.634,0.089,0.902,0.187
99,0.863299,5.715,4.667,0.09,0.765,0.193
100,0.872169,6.103,4.619,0.105,0.755,0.624
101,0.879941,6.342,4.687,0.135,1.226,0.294
102,0.888265,6.3,4.628,0.08,1.342,0.25
103,0.896444,6.493,4.66,0.064,1.467,0.302
104,0.905089,6.15,4.65,0.069,1.167,0.264
105,0.913651,5.904,4.609,0.059,0.981,0.255
106,0.921624,6.239,4.585,0.057,1.363,0.234
107,0.930606,5.589,4.582,0.071,0.716,0.22
108,0.938591,5.934,4.602,0.035,1.048,0.249
109,0.94646,6.4,4.67,0.099,1.429,0.202
110,0.955227,6.038,4.648,0.06,1.026,0.304
111,0.963791,5.868,4.707,0.095,0.848,0.218
112,0.973639,6.169,4.728,0.279,0.896,0.266
113,0.982384,5.982,4.677,0.075,0.87,0.36
114,0.990771,5.875,4.652,0.085,0.87,0.268
115,0.998878,6.052,4.685,0.074,1.063,0.23
116,1.007252,6.028,4.615,0.073,1.096,0.244
117,1.015851,5.807,4.615,0.112,0.858,0.222
118,1.024291,5.766,4.576,0.103,0.844,0.243
119,1.034311,5.839,4.546,0.122,0.882,0.289
120,1.04285,5.831,4.59,0.122,0.849,0.27
121,1.050872,6.143,4.537,0.119,1.216,0.271
122,1.059454,5.831,4.519,0.14,0.963,0.209
123,1.067241,6.391,4.545,0.156,1.473,0.217
124,1.076115,5.97,4.561,0.091,0.983,0.335
125,1.084193,6.198,4.533,0.097,1.257,0.311
126,1.092782,5.929,4.509,0.152,0.973,0.295
127,1.102907,5.985,4.674,0.081,0.954,0.276
128,1.111431,5.777,4.531,0.139,0.85,0.257
129,1.121812,6.468,4.655,0.203,1.275,0.335
130,1.130003,6.769,4.563,0.112,1.62,0.474
131,1.13839,6.472,4.511,0.095,1.643,0.223
132,1.146508,6.685,4.523,0.11,1.826,0.226
133,1.154978,6.561,4.573,0.085,1.652,0.251
134,1.163743,6.085,4.515,0.084,1.284,0.202
135,1.172103,6.067,4.542,0.086,1.234,0.205
136,1.180434,6.068,4.555,0.088,1.225,0.2
137,1.189497,6.52,4.51,0.117,0.755,1.138
138,1.197041,6.804,4.615,0.13,1.431,0.628
139,1.205397,6.677,4.644,0.059,1.435,0.539
140,1.214124,6.449,4.612,0.079,1.076,0.682
141,1.224402,6.238,4.637,0.05,0.777,0.774
142,1.232895,6.187,4.639,0.07,0.822,0.656
143,1.24131,5.965,4.647,0.073,0.731,0.514
144,1.249545,6.153,4.613,0.08,0.863,0.597
145,1.258111,5.991,4.618,0.07,0.632,0.671
146,1.266115,6.242,4.603,0.067,0.98,0.592
147,1.274099,6.56,4.64,0.071,1.289,0.56
148,1.282809,6.155,4.629,0.069,0.923,0.534
149,1.292793,5.879,4.661,0.067,0.651,0.5
150,1.301174,5.804,4.644,0.067,0.616,0.477
151,1.309507,5.889,4.587,0.047,0.677,0.578
152,1.318035,6.253,4.638,0.068,0.811,0.736
153,1.326547,5.851,4.582,0.046,0.662,0.561
154,1.334605,6.058,4.58,0.048,0.944,0.486
155,1.343173,6.22,4.63,0.068,0.854,0.668
156,1.353459,5.785,4.609,0.047,0.599,0.53
157,1.363898,6.165,4.588,0.059,0.737,0.781
158,1.372008,6.169,4.67,0.068,0.875,0.556
159,1.380271,6.37,4.608,0.072,1.012,0.678
160,1.388727,6.128,4.614,0.076,0.878,0.56
161,1.39731,6.098,4.628,0.077,0.81,0.583
162,1.405548,6.093,4.607,0.049,0.929,0.508
163,1.41429,5.736,4.591,0.075,0.607,0.463
164,1.422191,6.372,4.545,0.071,1.091,0.665
165,1.430834,6.219,4.636,0.068,0.773,0.742
166,1.438649,6.546,4.574,0.05,1.352,0.57
167,1.447132,6.362,4.59,0.064,1.188,0.52
168,1.455843,6.119,4.584,0.086,0.82,0.629
169,1.464194,6.256,4.618,0.084,0.765,0.789
170,1.472443,6.156,4.627,0.054,0.836,0.639
171,1.482339,6.05,4.62,0.04,0.846,0.544
172,1.491054,5.976,4.614,0.07,0.806,0.486
173,1.499323,6.011,4.658,0.053,0.826,0.474
174,1.50778,6.067,4.64,0.058,0.821,0.548
175,1.516083,6.323,4.617,0.041,0.876,0.789
176,1.524438,6.133,4.628,0.058,0.867,0.58
177,1.534499,5.757,4.627,0.048,0.596,0.486
178,1.543098,5.968,4.621,0.06,0.738,0.549
179,1.550877,6.476,4.632,0.042,1.288,0.514
180,1.559669,6.036,4.569,0.048,0.893,0.526
181,1.567922,6.067,4.595,0.069,0.948,0.455
182,1.576404,6.115,4.621,0.061,0.803,0.63
183,1.584909,5.92,4.639,0.067,0.612,0.602
184,1.594866,5.862,4.674,0.072,0.585,0.531
185,1.603377,5.727,4.6,0.077,0.599,0.451
186,1.611486,6.048,4.602,0.043,0.829,0.574
187,1.61998,5.936,4.629,0.066,0.636,0.605
188,1.628422,5.792,4.631,0.046,0.615,0.5
189,1.637059,6.061,4.619,0.036,0.831,0.575
190,1.645028,6.371,4.619,0.092,1.191,0.469
191,1.655733,5.799,4.586,0.075,0.636,0.502
192,1.664369,6.363,4.616,0.047,0.829,0.871
193,1.672468,6.385,4.617,0.057,1.059,0.652
194,1.680493,6.679,4.587,0.046,1.4,0.646
195,1.689023,6.486,4.604,0.07,1.186,0.626
196,1.697317,6.403,4.636,0.084,1.19,0.493
197,1.705737,6.367,4.587,0.069,1.154,0.557
198,1.713642,6.694,4.599,0.046,1.572,0.477
199,1.724227,6.106,4.614,0.052,0.793,0.647
200,1.7327,5.844,4.588,0.08,0.68,0.496
201,1.740925,5.924,4.621,0.072,0.754,0.477
202,1.74934,6.035,4.621,0.061,0.798,0.555
203,1.757882,5.902,4.625,0.074,0.607,0.596
204,1.766173,6.27,4.586,0.068,0.79,0.826
205,1.774271,6.181,4.613,0.093,0.993,0.482
206,1.784183,5.845,4.636,0.136,0.753,0.32
207,1.792717,5.82,4.662,0.101,0.849,0.208
208,1.80105,6.483,4.618,0.27,1.387,0.208
209,1.809194,6.649,4.661,0.153,1.646,0.189
210,1.817667,6.547,4.614,0.102,1.61,0.221
211,1.825773,6.744,4.687,0.08,1.773,0.204
212,1.834612,6.235,4.616,0.083,1.338,0.198
213,1.842963,6.201,4.653,0.105,1.272,0.171
214,1.853098,6.132,4.631,0.162,1.121,0.218
215,1.861496,6.081,4.675,0.227,1.021,0.158
216,1.869391,6.538,4.654,0.101,1.61,0.173
217,1.877851,6.407,4.663,0.091,1.486,0.167
218,1.886592,5.991,4.638,0.08,1.105,0.168
219,1.8945,6.415,4.633,0.081,1.536,0.165
220,1.903199,6.034,4.657,0.097,1.14,0.14
221,1.913789,5.767,4.659,0.114,0.838,0.156
222,1.921781,6.112,4.662,0.095,1.205,0.15
223,1.930346,5.864,4.67,0.072,0.961,0.161
224,1.938299,6.254,4.656,0.082,1.357,0.159
225,1.946553,6.329,4.639,0.085,1.451,0.154
226,1.9553,5.941,4.559,0.109,1.106,0.167
227,1.963409,6.131,4.566,0.106,1.323,0.136
228,1.97371,5.594,4.667,0.093,0.674,0.16
229,1.98411,5.533,4.617,0.07,0.664,0.182
230,1.992416,5.552,4.56,0.085,0.743,0.164
231,2.000817,5.555,4.54,0.093,0.767,0.155
232,2.009305,5.693,4.566,0.169,0.816,0.142
233,2.017457,5.899,4.576,0.099,1.067,0.157
234,2.02569,6.001,4.519,0.082,1.229,0.171
235,2.034276,5.748,4.553,0.074,0.945,0.176
236,2.042486,5.849,4.538,0.088,1.086,0.137
237,2.050936,5.75,4.554,0.093,0.95,0.153
238,2.059279,5.742,4.533,0.137,0.918,0.154
239,2.067618,5.741,4.522,0.107,0.954,0.158
240,2.076188,5.53,4.548,0.08,0.707,0.195
241,2.084652,5.443,4.53,0.078,0.654,0.181
242,2.092917,5.501,4.561,0.076,0.692,0.172
243,2.103089,5.718,4.609,0.106,0.827,0.176
244,2.111556,5.609,4.636,0.081,0.678,0.214
245,2.119717,5.754,4.659,0.106,0.824,0.165
246,2.128059,5.772,4.632,0.099,0.853,0.188
247,2.136202,5.947,4.643,0.087,1.044,0.173
248,2.144657,5.91,4.61,0.09,1.03,0.18
249,2.153225,5.725,4.654,0.097,0.823,0.151
250,2.163422,5.802,4.646,0.136,0.853,0.167
251,2.171948,5.759,4.659,0.082,0.845,0.173
252,2.180216,5.846,4.653,0.09,0.917,0.186
253,2.188441,5.931,4.638,0.071,1.041,0.181
254,2.196986,5.721,4.681,0.067,0.786,0.187
255,2.20495,6.077,4.662,0.089,1.174,0.152
256,2.213484,5.9,4.619,0.102,1.01,0.169
257,2.221927,5.778,4.676,0.085,0.85,0.167
258,2.232013,5.585,4.664,0.073,0.653,0.195
259,2.240743,5.806,4.666,0.068,0.881,0.191
260,2.248834,6.046,4.668,0.151,1.058,0.169
261,2.257226,5.989,4.64,0.082,1.091,0.176
262,2.265389,6.159,4.658,0.102,1.224,0.175
263,2.27392,5.962,4.653,0.075,1.049,0.185
264,2.282455,5.746,4.615,0.069,0.886,0.176
265,2.292375,5.722,4.672,0.08,0.814,0.156
266,2.300838,5.702,4.678,0.083,0.766,0.175
267,2.309096,5.767,4.622,0.101,0.883,0.161
268,2.317897,5.73,4.674,0.08,0.789,0.187
269,2.325645,6.292,4.609,0.129,1.368,0.186
270,2.334607,5.876,4.643,0.088,0.959,0.186
271,2.344472,5.593,4.615,0.08,0.727,0.171
272,2.352751,5.682,4.626,0.083,0.773,0.2
273,2.361303,5.669,4.609,0.086,0.807,0.167
274,2.369749,5.786,4.662,0.121,0.808,0.195
275,2.37782,6.027,4.621,0.078,1.158,0.17
276,2.386601,5.634,4.602,0.053,0.729,0.25
277,2.394872,5.659,4.661,0.073,0.732,0.193
278,2.403142,5.765,4.54,0.117,0.882,0.226
279,2.413393,5.59,4.647,0.086,0.685,0.172
280,2.421641,5.743,4.523,0.095,0.881,0.244
281,2.430349,5.617,4.566,0.083,0.654,0.314
282,2.438622,5.573,4.505,0.069,0.773,0.226
283,2.446961,5.893,4.552,0.201,0.943,0.197
284,2.455158,6.061,4.517,0.119,1.2,0.225
285,2.465775,5.734,4.63,0.102,0.812,0.19
286,2.473789,6.039,4.51,0.078,1.271,0.18
287,2.48227,5.891,4.512,0.066,1.119,0.194
288,2.490895,5.635,4.535,0.066,0.806,0.228
289,2.499063,5.782,4.521,0.098,0.971,0.192
290,2.507019,6.153,4.542,0.085,1.343,0.183
291,2.515687,5.821,4.508,0.069,1.038,0.206
292,2.523683,6.155,4.514,0.094,1.362,0.185
293,2.534394,5.592,4.664,0.075,0.67,0.183
294,2.542627,5.745,4.51,0.061,0.927,0.247
295,2.551069,5.73,4.574,0.11,0.852,0.194
296,2.559102,6.04,4.627,0.074,1.134,0.205
297,2.568382,6.157,4.662,0.117,0.857,0.521
298,2.575647,6.911,4.637,0.08,1.99,0.204
299,2.584136,6.745,4.654,0.076,1.822,0.193
300,2.592773,6.422,4.609,0.076,1.56,0.177
301,2.602826,6.008,4.715,0.192,0.937,0.164
302,2.611309,5.875,4.665,0.085,0.945,0.18
303,2.621797,5.763,4.647,0.09,0.859,0.167
304,2.629821,6.064,4.643,0.065,1.179,0.177
305,2.638315,5.899,4.656,0.074,1.004,0.165
306,2.646447,6.126,4.628,0.074,1.234,0.19
307,2.654872,6.08,4.646,0.077,1.126,0.231
308,2.663765,5.725,4.665,0.111,0.739,0.21
309,2.671703,6.116,4.653,0.089,1.176,0.198
310,2.680293,6.133,4.657,0.32,0.933,0.223
311,2.688774,6.075,4.669,0.08,1.038,0.288
312,2.697098,6.036,4.657,0.125,1.016,0.238
313,2.705,6.445,4.543,0.073,1.607,0.222
314,2.713715,6.04,4.505,0.061,1.261,0.213
315,2.724175,5.723,4.634,0.084,0.778,0.227
316,2.732172,6.003,4.557,0.106,1.162,0.178
317,2.740776,5.751,4.502,0.061,0.977,0.211
318,2.748646,6.218,4.562,0.19,1.252,0.214
319,2.757316,5.908,4.545,0.092,1.056,0.215
320,2.765608,5.921,4.507,0.093,1.136,0.185
321,2.774077,5.791,4.534,0.084,0.975,0.198
322,2.784542,5.675,4.606,0.076,0.775,0.218
323,2.792463,6.045,4.521,0.083,1.264,0.177
324,2.80168,5.473,4.496,0.062,0.73,0.185
325,2.809579,5.92,4.508,0.071,1.154,0.187
326,2.817494,6.333,4.562,0.061,1.518,0.192
327,2.825877,6.277,4.546,0.076,1.487,0.168
328,2.834204,6.297,4.504,0.057,1.533,0.203
329,2.844296,5.69,4.636,0.115,0.761,0.178
330,2.852921,5.541,4.54,0.088,0.746,0.167
331,2.861724,5.687,4.566,0.067,0.851,0.203
332,2.869657,6.075,4.593,0.103,1.207,0.172
333,2.878607,5.631,4.603,0.081,0.779,0.168
334,2.886497,6.076,4.602,0.071,1.224,0.179
335,2.894684,6.225,4.608,0.122,1.319,0.176
336,2.903219,5.99,4.576,0.078,1.196,0.14
337,2.913427,5.68,4.631,0.075,0.809,0.165
338,2.921977,5.7,4.649,0.086,0.733,0.232
339,2.929939,6.023,4.644,0.075,1.113,0.191
340,2.93852,5.814,4.608,0.067,0.901,0.238
341,2.946492,6.132,4.616,0.083,1.253,0.18
342,2.95582,5.733,4.608,0.084,0.758,0.283
343,2.965451,5.715,4.615,0.072,0.834,0.194
344,2.972084,7.437,4.647,0.083,2.499,0.208
345,2.982393,5.552,4.641,0.068,0.634,0.209
346,2.990555,5.884,4.627,0.082,0.861,0.314
347,2.999112,5.825,4.593,0.1,0.797,0.335
348,3.007151,6.114,4.62,0.083,1.082,0.329
349,3.015466,5.981,4.604,0.068,1.115,0.194
350,3.026447,6.034,4.62,0.098,0.857,0.459
351,3.036203,5.725,4.631,0.065,0.756,0.273
352,3.044532,5.683,4.599,0.071,0.791,0.222
353,3.053039,5.895,4.713,0.091,0.84,0.251
354,3.061106,6.135,4.635,0.07,1.196,0.234
355,3.069711,5.872,4.641,0.079,0.917,0.235
356,3.077627,6.264,4.612,0.088,1.361,0.203
357,3.086179,6.047,4.639,0.076,1.118,0.214
358,3.094218,6.326,4.591,0.079,1.46,0.196
359,3.10316,5.76,4.655,0.074,0.815,0.216
360,3.111257,5.992,4.614,0.064,1.095,0.219
361,3.119876,5.798,4.653,0.08,0.86,0.205
362,3.128399,5.748,4.647,0.09,0.821,0.19
363,3.137148,7.006,4.602,0.162,1.173,1.069
