sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
116,1.009315,9.062,4.479,3.062,1.02,0.501
117,1.018052,8.903,4.598,3.219,0.694,0.392
118,1.026545,9.027,4.596,3.449,0.614,0.368
119,1.034521,9.426,4.74,2.091,1.091,1.504
120,1.042946,9.394,4.616,1.929,1.121,1.728
121,1.051221,9.336,4.569,3.079,1.224,0.464
122,1.059838,9.245,4.615,3.344,0.82,0.466
123,1.068115,9.331,4.564,3.681,0.649,0.437
124,1.07628,9.586,4.676,3.63,0.747,0.533
125,1.084743,9.425,4.959,3.191,0.772,0.503
126,1.095605,9.046,4.618,3.325,0.624,0.479
127,1.103267,9.883,4.685,2.299,1.34,1.559
128,1.112116,9.045,4.615,3.183,0.895,0.352
129,1.119884,9.754,4.715,3.219,1.357,0.463
130,1.128252,9.539,4.564,3.051,1.479,0.445
131,1.13681,9.388,4.577,3.509,0.943,0.359
132,1.144821,9.859,4.822,2.997,1.317,0.723
133,1.153837,9.268,4.594,3.372,0.705,0.597
134,1.163553,9.341,4.613,3.756,0.613,0.359
135,1.17216,8.986,4.582,3.126,0.912,0.366
136,1.180171,9.358,4.547,3.151,1.273,0.387
137,1.189317,8.83,4.583,2.999,0.67,0.578
138,1.196934,9.564,4.772,3.128,1.2,0.464
139,1.205176,9.58,4.504,3.204,1.564,0.308
140,1.215758,8.863,4.597,3.271,0.599,0.396
141,1.225972,8.817,4.592,3.25,0.602,0.373
142,1.234309,8.741,4.555,3.1,0.684,0.402
143,1.242437,9.143,4.498,3.673,0.682,0.29
144,1.251191,8.72,4.587,3.067,0.643,0.423
145,1.259169,9.035,4.552,3.125,1.033,0.325
146,1.26752,9.027,4.665,3.42,0.682,0.26
147,1.276051,8.918,4.654,3.127,0.719,0.418
148,1.284412,8.867,4.527,2.976,0.826,0.538
149,1.292874,8.951,4.594,3.374,0.611,0.372
150,1.301404,8.735,4.577,2.991,0.615,0.552
151,1.309309,9.115,4.544,3.03,1.082,0.459
152,1.318007,8.822,4.638,3.181,0.619,0.384
153,1.32626,8.808,4.517,3.06,0.828,0.403
154,1.334267,9.113,4.556,3.154,1.137,0.266
155,1.345071,8.747,4.671,3.011,0.686,0.379
156,1.353404,8.857,4.493,2.961,0.864,0.539
157,1.361496,9.052,4.585,2.857,1.015,0.595
158,1.36996,8.916,4.596,3.351,0.656,0.313
159,1.378019,9.188,4.749,3.126,0.995,0.318
160,1.386734,9.334,4.542,3.805,0.609,0.378
161,1.395219,9.288,4.621,3.034,1.066,0.567
162,1.405089,8.694,4.624,3.099,0.637,0.334
163,1.413639,8.965,4.615,3.423,0.628,0.299
164,1.422251,8.663,4.53,3.094,0.738,0.301
165,1.430191,9.064,4.508,3.689,0.592,0.275
166,1.439252,8.567,4.595,3.085,0.538,0.349
167,1.446696,9.473,4.785,2.416,1.237,1.035
168,1.455443,9.091,4.638,2.971,0.975,0.507
169,1.465618,8.959,4.599,3.353,0.625,0.382
170,1.476217,8.627,4.586,3.03,0.621,0.39
171,1.48445,9.059,4.607,3.564,0.563,0.325
172,1.492636,9.267,4.79,3.319,0.8,0.358
173,1.501257,8.938,4.632,3.001,0.872,0.433
174,1.509161,9.33,4.577,3.167,1.313,0.273
175,1.517701,9.475,4.628,3.916,0.608,0.323
176,1.526215,9.501,4.623,3.021,1.223,0.634
177,1.5344,9.431,4.567,3.026,1.429,0.409
178,1.543035,9.211,4.617,3.217,0.983,0.394
179,1.550998,9.585,4.656,3.766,0.763,0.4
180,1.559604,9.216,4.66,3.497,0.751,0.308
