sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
116,1.005254,4.076,2.373,0.091,1.378,0.234
117,1.01356,4.059,2.387,0.068,1.388,0.216
118,1.022171,3.848,2.408,0.094,1.089,0.257
119,1.030604,3.668,2.36,0.116,1.013,0.179
120,1.038698,5.058,2.379,0.085,0.786,1.808
121,1.047249,4.778,2.395,0.081,0.784,1.518
122,1.055161,5.259,2.365,0.057,0.79,2.047
123,1.064061,4.663,2.401,0.07,0.79,1.402
124,1.072428,4.67,2.387,0.078,0.792,1.413
125,1.082382,5.057,2.37,0.082,0.731,1.874
126,1.091128,4.654,2.38,0.082,0.749,1.443
127,1.099589,4.548,2.339,0.083,0.783,1.343
128,1.10756,4.966,2.369,0.067,0.807,1.723
129,1.115969,4.856,2.348,0.075,0.81,1.623
130,1.123984,5.185,2.331,0.076,0.813,1.965
131,1.132592,4.924,2.384,0.098,0.809,1.633
132,1.143206,3.625,2.385,0.089,0.896,0.255
133,1.151159,3.981,2.345,0.083,1.319,0.234
134,1.159812,3.658,2.351,0.063,0.994,0.25
135,1.167629,4.147,2.414,0.064,1.444,0.225
136,1.176317,3.784,2.375,0.087,1.127,0.195
137,1.184307,4.123,2.332,0.056,1.514,0.221
138,1.192897,3.936,2.365,0.063,1.225,0.283
139,1.201205,3.927,2.357,0.093,1.259,0.218
140,1.211563,5.024,2.39,0.069,0.744,1.821
141,1.222106,3.505,2.372,0.07,0.823,0.24
142,1.230263,3.657,2.348,0.074,1.022,0.213
143,1.238685,3.585,2.388,0.061,0.899,0.237
144,1.246956,3.64,2.352,0.071,0.993,0.224
145,1.255089,3.848,2.337,0.082,1.209,0.22
146,1.26364,3.626,2.429,0.056,0.901,0.24
147,1.271894,3.705,2.351,0.054,1.059,0.241
148,1.280388,4.985,2.378,0.064,0.784,1.759
149,1.289029,4.761,2.391,0.086,0.783,1.501
150,1.296908,5.119,2.359,0.085,0.787,1.888
151,1.305376,4.989,2.343,0.062,0.793,1.791
152,1.31421,4.542,2.358,0.078,0.793,1.313
153,1.321999,5.035,2.365,0.072,0.797,1.801
154,1.332292,3.319,2.395,0.094,0.621,0.209
155,1.340792,3.472,2.354,0.068,0.834,0.216
156,1.349288,4.789,2.387,0.078,0.789,1.535
157,1.357175,5.273,2.387,0.059,0.812,2.015
158,1.365889,4.87,2.387,0.072,0.823,1.588
159,1.373832,5.259,2.356,0.075,0.83,1.998
160,1.382495,4.94,2.361,0.065,0.835,1.679
161,1.391319,4.47,2.387,0.086,0.844,1.153
162,1.401227,3.496,2.364,0.062,0.862,0.208
163,1.409788,3.508,2.347,0.064,0.858,0.239
164,1.417792,3.818,2.388,0.061,1.152,0.217
165,1.426116,4.97,2.383,0.082,0.712,1.793
166,1.434812,4.638,2.387,0.076,0.744,1.431
167,1.442748,5.035,2.349,0.075,0.749,1.862
168,1.451217,4.916,2.344,0.067,0.755,1.75
169,1.459832,4.617,2.36,0.073,0.759,1.425
170,1.470166,4.739,2.382,0.074,0.737,1.546
171,1.480283,3.519,2.341,0.087,0.85,0.241
172,1.488501,3.597,2.375,0.082,0.93,0.21
173,1.496988,3.503,2.382,0.092,0.836,0.193
174,1.505328,3.551,2.337,0.079,0.877,0.258
175,1.513498,3.687,2.395,0.065,0.982,0.245
176,1.521981,3.496,2.362,0.057,0.864,0.213
177,1.530264,3.544,2.352,0.068,0.926,0.198
178,1.538524,3.613,2.34,0.075,1.012,0.186
179,1.547339,3.301,2.376,0.084,0.669,0.172
180,1.555094,3.9,2.342,0.081,1.28,0.197
181,1.56362,3.688,2.384,0.085,1.037,0.182
182,1.57227,3.442,2.345,0.056,0.818,0.223
183,1.580575,3.469,2.397,0.1,0.786,0.186
184,1.59061,5.098,2.411,0.078,0.776,1.833
185,1.599186,4.886,2.371,0.089,0.804,1.622
186,1.607684,4.688,2.392,0.059,0.8,1.437
187,1.615594,5.137,2.383,0.075,0.808,1.871
188,1.62421,4.94,2.411,0.112,0.855,1.562
189,1.632444,5.016,2.384,0.063,0.861,1.708
190,1.642737,5.066,2.368,0.085,0.779,1.834
191,1.651247,4.888,2.377,0.058,0.777,1.676
192,1.659783,4.681,2.351,0.076,0.783,1.471
193,1.667808,4.989,2.351,0.081,0.786,1.771
194,1.67635,4.781,2.388,0.087,0.782,1.524
195,1.684638,4.823,2.396,0.073,0.787,1.567
196,1.692754,5.075,2.364,0.077,0.807,1.827
197,1.701503,4.841,2.409,0.073,0.808,1.551
198,1.709811,4.686,2.348,0.076,0.806,1.456
199,1.720121,4.773,2.343,0.077,0.76,1.593
200,1.730226,3.521,2.368,0.087,0.848,0.218
201,1.738573,3.469,2.338,0.089,0.856,0.186
202,1.746983,3.383,2.355,0.089,0.777,0.162
203,1.755132,3.59,2.343,0.074,0.972,0.201
204,1.763901,3.226,2.358,0.069,0.613,0.186
205,1.771909,3.643,2.324,0.064,0.977,0.278
206,1.780761,3.181,2.324,0.064,0.601,0.192
207,1.788584,3.723,2.388,0.111,1.028,0.196
208,1.797177,3.471,2.341,0.082,0.836,0.212
209,1.805177,3.789,2.395,0.091,1.117,0.186
210,1.813785,3.497,2.372,0.061,0.862,0.202
211,1.822117,3.524,2.336,0.09,0.902,0.196
212,1.830453,3.492,2.373,0.061,0.861,0.197
213,1.840703,4.783,2.401,0.104,0.559,1.719
214,1.849282,4.616,2.387,0.08,0.651,1.498
215,1.85749,4.963,2.391,0.083,0.835,1.654
216,1.866028,4.752,2.38,0.08,0.839,1.453
217,1.874403,4.705,2.375,0.083,0.837,1.41
218,1.882626,4.818,2.365,0.082,0.837,1.534
219,1.892658,3.493,2.385,0.063,0.838,0.207
220,1.90118,4.943,2.346,0.076,0.751,1.77
221,1.909686,4.78,2.388,0.075,0.786,1.531
222,1.918694,5.028,2.351,0.078,0.794,1.805
223,1.926667,4.883,2.262,0.055,0.798,1.768
224,1.935169,4.795,2.345,0.076,0.799,1.575
225,1.943411,5.023,2.364,0.096,0.798,1.765
226,1.951817,4.775,2.336,0.067,0.795,1.577
227,1.961875,5.149,2.359,0.068,0.774,1.948
228,1.970698,4.633,2.362,0.088,0.841,1.342
229,1.978391,5.279,2.334,0.069,0.843,2.033
230,1.98716,4.843,2.334,0.086,0.843,1.58
231,1.995164,5.279,2.387,0.101,0.839,1.952
232,2.003689,4.979,2.39,0.071,0.822,1.696
233,2.014479,3.71,2.37,0.092,0.66,0.588
234,2.022357,4.148,2.365,0.235,0.957,0.591
235,2.031162,3.944,2.379,0.103,0.857,0.605
236,2.038952,4.532,2.355,0.091,1.433,0.653
237,2.047209,5.129,2.343,0.083,0.93,1.773
238,2.055518,5.218,2.359,0.088,0.929,1.842
239,2.064365,4.899,2.376,0.085,0.934,1.504
240,2.072585,4.903,2.393,0.076,0.934,1.5
241,2.08269,3.656,2.384,0.072,0.618,0.582
242,2.091182,4.873,2.355,0.09,0.711,1.717
243,2.099736,4.71,2.329,0.081,0.716,1.584
244,2.107976,5.308,2.332,0.085,1.228,1.663
245,2.11597,5.502,2.303,0.108,1.227,1.864
246,2.12508,5.202,2.41,0.172,1.229,1.391
247,2.13254,5.457,2.348,0.094,1.234,1.781
248,2.140947,5.414,2.311,0.142,1.342,1.619
249,2.151298,3.556,2.358,0.096,0.868,0.234
250,2.161463,3.984,2.394,0.087,1.245,0.258
251,2.169885,3.843,2.383,0.088,1.176,0.196
252,2.178103,4.007,2.354,0.077,1.319,0.257
253,2.186572,3.817,2.388,0.083,1.152,0.194
254,2.194769,3.982,2.358,0.068,1.317,0.239
255,2.20299,4.067,2.415,0.084,1.371,0.197
256,2.211611,3.761,2.424,0.063,1.072,0.202
257,2.220295,3.537,2.39,0.099,0.872,0.176
258,2.228264,3.942,2.47,0.077,1.167,0.228
259,2.236668,3.874,2.386,0.06,1.18,0.248
260,2.244995,4.933,2.394,0.102,0.81,1.627
261,2.253022,5.264,2.381,0.063,0.814,2.006
262,2.263898,4.671,2.382,0.067,0.678,1.544
263,2.272014,5.079,2.375,0.078,0.752,1.874
264,2.280393,5.156,2.317,0.114,0.974,1.751
265,2.28893,5.007,2.299,0.14,0.973,1.595
266,2.297049,5.248,2.399,0.099,0.984,1.766
267,2.305574,5.034,2.406,0.128,0.973,1.527
268,2.31354,5.368,2.338,0.128,0.982,1.92
269,2.322323,5.211,2.37,0.141,0.975,1.725
270,2.332381,5.278,2.289,0.106,0.902,1.981
271,2.340848,5.179,2.38,0.119,0.957,1.723
272,2.349395,5.054,2.303,0.155,1.079,1.517
273,2.35727,5.562,2.276,0.089,1.079,2.118
274,2.365864,5.238,2.309,0.109,1.077,1.743
275,2.374321,5.115,2.33,0.104,1.079,1.602
276,2.382507,5.402,2.433,0.09,1.08,1.799
277,2.391052,5.029,2.361,0.099,1.077,1.492
278,2.401251,4.927,2.398,0.115,0.759,1.655
279,2.411637,3.387,2.411,0.079,0.67,0.227
280,2.419748,3.609,2.364,0.087,0.94,0.218
281,2.42807,3.648,2.376,0.089,0.938,0.245
282,2.436477,3.541,2.377,0.084,0.868,0.212
283,2.444738,3.613,2.359,0.073,0.956,0.225
284,2.45328,3.458,2.352,0.107,0.791,0.208
285,2.46133,3.729,2.377,0.098,1.063,0.191
286,2.469932,3.498,2.369,0.086,0.842,0.201
287,2.478507,3.483,2.372,0.097,0.792,0.222
288,2.486718,3.588,2.353,0.064,0.946,0.225
289,2.495138,3.558,2.381,0.111,0.839,0.227
290,2.503219,3.78,2.386,0.084,1.116,0.194
291,2.511787,3.557,2.332,0.069,0.935,0.221
292,2.521753,5.122,2.311,0.072,0.683,2.056
293,2.530124,5.119,2.382,0.067,0.695,1.975
294,2.538495,5.073,2.386,0.08,0.707,1.9
295,2.547056,4.852,2.381,0.085,0.701,1.685
296,2.555166,5.068,2.343,0.076,0.701,1.948
297,2.563622,4.985,2.386,0.081,0.725,1.793
298,2.57204,4.889,2.368,0.083,0.728,1.71
299,2.580621,4.672,2.406,0.07,0.745,1.451
300,2.590798,3.215,2.345,0.064,0.589,0.217
301,2.599261,3.382,2.409,0.084,0.708,0.181
302,2.607354,3.634,2.373,0.099,0.976,0.186
303,2.615905,4.721,2.365,0.101,0.668,1.587
304,2.623882,5.111,2.343,0.094,0.67,2.004
305,2.632557,4.744,2.464,0.069,0.677,1.534
306,2.64095,4.74,2.376,0.087,0.744,1.533
307,2.651308,3.247,2.382,0.09,0.594,0.181
308,2.661618,3.524,2.393,0.078,0.838,0.215
309,2.66979,3.683,2.354,0.054,1.045,0.23
310,2.678028,3.759,2.38,0.092,1.108,0.179
311,2.686484,3.665,2.386,0.07,0.986,0.223
312,2.694778,3.703,2.362,0.071,1.047,0.223
313,2.703245,4.96,2.375,0.074,0.735,1.776
314,2.711393,5.116,2.39,0.085,0.736,1.905
315,2.719874,4.979,2.357,0.082,0.743,1.797
316,2.728346,4.849,2.39,0.07,0.759,1.63
317,2.736553,4.988,2.41,0.083,0.755,1.74
318,2.744998,4.9,2.421,0.079,0.771,1.629
319,2.753102,5.142,2.371,0.067,0.771,1.933
320,2.761761,4.789,2.352,0.08,0.769,1.588
321,2.772186,4.702,2.402,0.083,0.701,1.516
322,2.780543,4.726,2.394,0.069,0.738,1.525
323,2.788555,5.05,2.386,0.081,0.737,1.846
